codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2,estrato_predominante,pct_predominante,fuente,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
1507,Campo Amor,GUAYABAL,49.0,1.0354158801599955,47.32397960945738,3.0,54.99,ECV 2022 (Ficha Caracterización Territorial 15),2677.0,3.8779279097024517,1.830407172207695,1.0404205784110208,0.8412698412698413,0.5754716981132075,0.26579814315663375
1506,Parque Juan Pablo II,GUAYABAL,17.0,1.4508647719167864,11.71714988815996,3.0,54.99,ECV 2022 (Ficha Caracterización Territorial 15),1025.0,2.5429514674093454,1.6585365853658538,0.977775815524836,0.8293650793650794,0.5754716981132075,0.2538933812518719
0517,Caribe,CASTILLA,3.0,0.4731728939219753,6.340177213309877,3.0,83.03,ECV 2022 (Ficha Caracterización Territorial 5),199.0,1.9933629858376827,1.507537688442211,0.9193012710270262,0.8214285714285714,0.5754716981132075,0.24595687331536387
1601,Fatima,BELEN,63.0,0.417299407901766,150.97073901152157,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),4261.0,5.023687995811374,1.478526167566299,0.9076640962465624,0.8134920634920635,0.5754716981132075,0.23802036537885596
0907,Buenos Aires,BUENOS AIRES,34.0,0.2664614979426288,127.5981718278881,3.0,58.75,ECV 2022 (Ficha Caracterización Territorial 9),2466.0,4.856692595745147,1.37875101378751,0.8665755658131067,0.8095238095238095,0.5754716981132075,0.234052111410602
0309,Versalles No. 1,MANRIQUE,6.0,0.3597000526185838,16.68056469917239,2.0,54.49,ECV 2022 (Ficha Caracterización Territorial 3),6062.0,2.8724659966978647,0.09897723523589574,0.0943799611358765,0.5119047619047619,0.2811320754716981,0.23077268643306376
1614,La Palma,BELEN,38.0,0.3374757357222215,112.60068792405876,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),2763.0,4.732689561938247,1.3753166847629388,0.8651307695503062,0.8015873015873016,0.5754716981132075,0.2261156034740941
0708,Altamira,ROBLEDO,2.0,0.376853347537431,5.307104243783717,2.0,57.73,ECV 2022 (Ficha Caracterización Territorial 7; estratos 1+2 combined),2056.0,1.8416766558125182,0.09727626459143969,0.09283098604289379,0.5,0.2811320754716981,0.2188679245283019
1509,Cristo Rey,GUAYABAL,63.0,0.7587515616778235,83.03113058599631,3.0,54.99,ECV 2022 (Ficha Caracterización Territorial 15),4772.0,4.431187332401517,1.3202011735121544,0.8416538946396441,0.7936507936507936,0.5754716981132075,0.21817909553758608
0916,Asomadera No. 3,BUENOS AIRES,4.0,0.1955237366983163,20.457874156587984,3.0,58.75,ECV 2022 (Ficha Caracterización Territorial 9),307.0,3.0660916715589,1.3029315960912053,0.8341829183093756,0.7896825396825397,0.5754716981132075,0.21421084156933212
1619,Miravalle,BELEN,17.0,0.1417015455489634,119.97046280716702,3.0,37.91,ECV 2022 (Ficha Caracterización Territorial 16),1630.0,4.795546406765604,1.0429447852760736,0.7143922891736815,0.7738095238095238,0.5754716981132075,0.1983378256963163
0110,La Esperanza No. 2,POPULAR,1.0,0.0622703439708624,16.05900877097966,2.0,60.05,ECV 2020 (Ficha Caracterización Territorial 1),1187.0,2.836678437853808,0.08424599831508003,0.08088481298645862,0.4722222222222222,0.2811320754716981,0.1910901467505241
0810,El Pinal,VILLA HERMOSA,1.0,0.432163421207867,2.313939475037172,1.5,73.32,"ECV 2022 (Ficha Caracterización Territorial 8; estratos 1+2 combined, not disaggregated)",6552.0,1.1981376554209278,0.015262515262515262,0.015147214779912942,0.2976190476190476,0.10754716981132076,0.19007187780772686
1504,Santa Fe,GUAYABAL,28.0,1.0409033637647558,26.899711322604585,3.0,54.99,ECV 2022 (Ficha Caracterización Territorial 15),3484.0,3.3286163419137402,0.8036739380022963,0.5898256614031184,0.75,0.5754716981132075,0.17452830188679247
