codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2
1302,Blanquizal,SAN JAVIER,0.0,0.1681274171266996,0.0
1307,Juan XXIII La Quiebra,SAN JAVIER,0.0,0.39954289453943564,0.0
1310,Veinte de Julio,SAN JAVIER,8.0,0.37761896903014674,21.18537641407874
1306,La Pradera,SAN JAVIER,9.0,0.3296076480313335,27.305191653636726
1314,Las Independencias,SAN JAVIER,0.0,0.21963441959851754,0.0
1318,Antonio Narino,SAN JAVIER,1.0,0.4139619845003673,2.415680756789668
1506,Parque Juan Pablo II,GUAYABAL,17.0,1.4508647719167864,11.71714988815996
1509,Cristo Rey,GUAYABAL,63.0,0.7587515616778235,83.03113058599631
1507,Campo Amor,GUAYABAL,49.0,1.0354158801599955,47.32397960945738
1510,Guayabal,GUAYABAL,22.0,0.7599147978491678,28.9506140191873
1504,Santa Fe,GUAYABAL,28.0,1.0409033637647558,26.899711322604585
1502,Tenche,GUAYABAL,1.0,0.17622788288272564,5.6744709386622425
1503,Trinidad,GUAYABAL,3.0,0.6728486739953228,4.458654844611991
1511,La Colina,GUAYABAL,6.0,0.7030424238274928,8.534335619940105
1501,El Rodeo,GUAYABAL,6.0,0.7728801874827629,7.763169631171086
0207,Villa del Socorro,SANTA CRUZ,1.0,0.25226730233559774,3.9640492078901057
0208,Villa Niza,SANTA CRUZ,0.0,0.14776274088236988,0.0
0202,Playon de Los Comuneros,SANTA CRUZ,0.0,0.210232163178938,0.0
0204,La Frontera,SANTA CRUZ,0.0,0.13966413187994475,0.0
0209,Moscu No. 1,SANTA CRUZ,0.0,0.14872130579010412,0.0
0206,Andalucia,SANTA CRUZ,0.0,0.2680552689569937,0.0
0201,La Isla,SANTA CRUZ,0.0,0.22803759677791263,0.0
0205,La Francia,SANTA CRUZ,3.0,0.2840342276499433,10.562107337631634
0203,Pablo VI,SANTA CRUZ,1.0,0.07700496579087596,12.986175498288272
0210,Santa Cruz,SANTA CRUZ,2.0,0.2596669157306166,7.702174897301272
0211,La Rosa,SANTA CRUZ,0.0,0.16069090785530807,0.0
0309,Versalles No. 1,MANRIQUE,6.0,0.3597000526185838,16.68056469917239
0313,Maria Cano Carambolas,MANRIQUE,0.0,0.27240606494781716,0.0
0305,El Raizal,MANRIQUE,1.0,0.26644374405686777,3.753137472000722
0303,Campo Valdes No. 2,MANRIQUE,8.0,0.3899823032906125,20.51375134845144
0312,Oriente,MANRIQUE,0.0,0.4809753196889544,0.0
0314,San Jose la Cima No. 1,MANRIQUE,0.0,0.15382892599092457,0.0
0307,Manrique Central No. 2,MANRIQUE,1.0,0.19118487172101045,5.23053937792351
0308,Manrique Oriental,MANRIQUE,1.0,0.3926067652338785,2.5470778614940404
0304,Santa Ines,MANRIQUE,0.0,0.28392752499737683,0.0
0301,La Salle,MANRIQUE,0.0,0.39475322419834213,0.0
0302,Las Granjas,MANRIQUE,0.0,0.6194573107718412,0.0
0310,Versalles No. 2,MANRIQUE,0.0,0.19654876600396573,0.0
0306,El Pomar,MANRIQUE,1.0,0.17313694396280654,5.775774812190407
0315,San Jose la Cima No.2,MANRIQUE,0.0,0.1523433810964047,0.0
0311,La Cruz,MANRIQUE,0.0,0.5306234133548079,0.0
0411,Las Esmeraldas,ARANJUEZ,0.0,0.15352011480974628,0.0
0412,La Pinuela,ARANJUEZ,3.0,0.21504178197253587,13.950777251200169
0415,Miranda,ARANJUEZ,9.0,0.22947316491063202,39.22027224187646
0408,San Pedro,ARANJUEZ,0.0,0.24422269095112015,0.0
0417,Parque Norte,ARANJUEZ,0.0,0.28603975036149604,0.0
0409,Manrique Central No. 1,ARANJUEZ,15.0,0.35602597338600445,42.1317575719032
0405,Moravia,ARANJUEZ,1.0,0.5025030982141945,1.9900374814679151
0407,Sevilla,ARANJUEZ,16.0,0.25628488557600526,62.43052517139155
0401,Berlin,ARANJUEZ,3.0,0.3028517581144588,9.905836501256795
0403,Palermo,ARANJUEZ,2.0,0.22379864824681933,8.936604468648413
0404,Bermejal-Los Alamos,ARANJUEZ,9.0,0.16259865570820203,55.35101111875926
0406,Universidad de Antioquia,ARANJUEZ,0.0,0.3125118639938009,0.0
0416,Jardin Botanico,ARANJUEZ,1.0,0.16090922116863074,6.214684234609607
0410,Campo Valdes No. 1,ARANJUEZ,3.0,0.37048781106899825,8.097432386085412
0414,Brasilia,ARANJUEZ,5.0,0.3245372474490916,15.406552065443035
0413,Aranjuez,ARANJUEZ,5.0,0.36365416386319177,13.749326961868698
0402,San Isidro,ARANJUEZ,5.0,0.4193729720798517,11.922561378247245
0725,Nueva Villa de la Iguana,ROBLEDO,0.0,0.07615498258108477,0.0
