id,lat,lon,room_type,property_type,reviews_count,nightly_usd,city
46530142,6.23795,-75.59095,Private room,Private room in rental unit,49,37.84,Medellin
1173867404687891270,6.2086,-75.576,Entire home/apt,Entire rental unit,25,60.6,Medellin
1693048205426082791,6.1696,-75.59,Entire home/apt,Entire serviced apartment,0,68.88,Medellin
1364447802586645400,6.152444048098089,-75.61561363094545,Entire home/apt,Entire rental unit,33,60.8,Medellin
1331354899130262756,6.253040038389512,-75.59999766678033,Entire home/apt,Entire rental unit,85,49.75,Medellin
54345159,6.19804,-75.5907,Entire home/apt,Entire loft,38,32.68,Medellin
795610961974254295,6.2691,-75.5573,Entire home/apt,Entire home,123,63.31,Medellin
1671113202038739695,6.259469380387943,-75.59425780494297,Entire home/apt,Entire rental unit,6,63.3,Medellin
1567624838973485147,6.22868,-75.60738,Entire home/apt,Entire rental unit,5,32.81,Medellin
796457445762438460,6.17457,-75.58714,Entire home/apt,Entire home,68,61.0,Medellin
1471459497774129378,6.25215,-75.5919,Entire home/apt,Entire rental unit,27,32.25,Medellin
1460575924729921940,6.22145,-75.58093,Private room,Private room in rental unit,5,68.63,Medellin
1163902949932719274,6.236,-75.5933,Private room,Room in hotel,1,64.49,Medellin
1503462528710089364,6.2119,-75.5707,Entire home/apt,Entire rental unit,29,60.0,Medellin
1661171437667810132,6.2535,-75.5936,Private room,Private room in rental unit,0,39.97,Medellin
1671323681348418177,6.210797997994448,-75.57190083775832,Private room,Room in hotel,0,61.42,Medellin
39631472,6.21239,-75.57216,Private room,Private room in home,10,60.34,Medellin
1042797159501041197,6.2521,-75.5872,Private room,Room in hotel,1,81.98,Medellin
1305701568264014937,6.2399,-75.5966,Entire home/apt,Entire rental unit,18,61.0,Medellin
54382595,6.19525,-75.57729,Entire home/apt,Entire loft,23,61.0,Medellin
1470467683603668407,6.15069,-75.62002,Entire home/apt,Entire rental unit,12,60.25,Medellin
839083021861378958,6.2466,-75.5865,Entire home/apt,Entire vacation home,90,62.57,Medellin
1478141092575116355,6.143,-75.6141,Entire home/apt,Entire rental unit,10,63.26,Medellin
767397750435538084,6.2142,-75.5719,Entire home/apt,Entire rental unit,173,60.95,Medellin
1638597255125277867,6.259639364647805,-75.59561443166058,Entire home/apt,Entire home,4,63.07,Medellin
51019383,6.15334,-75.61173,Entire home/apt,Entire rental unit,81,60.8,Medellin
1642070487604056474,6.2566,-75.5845,Entire home/apt,Entire serviced apartment,0,61.42,Medellin
52898770,6.20896,-75.56385,Entire home/apt,Entire serviced apartment,12,60.81,Medellin
1093807696842342659,6.2577,-75.6007,Private room,Private room in home,41,34.32,Medellin
918569982393188653,6.25059,-75.59608,Entire home/apt,Entire rental unit,23,62.64,Medellin
1521300304992398900,6.3325,-75.56,Entire home/apt,Entire rental unit,27,32.89,Medellin
854541836632530664,6.2306,-75.6058,Entire home/apt,Entire rental unit,58,32.53,Medellin
1704578807834544533,6.2609,-75.5556,Private room,Room in hotel,0,60.72,Medellin
1019551131826595155,6.1742,-75.5707,Entire home/apt,Entire loft,28,64.71,Medellin
52584821,6.23236,-75.59312,Entire home/apt,Entire rental unit,74,60.4,Medellin
1005780311937271979,6.244871678433664,-75.58528338156096,Entire home/apt,Entire rental unit,43,61.18,Medellin
1574713807345455985,6.20796,-75.56519,Private room,Room in hotel,15,78.4,Medellin
1121366699569571998,6.16828,-75.61216,Entire home/apt,Entire rental unit,15,61.05,Medellin
1666772169933301352,6.229071255328229,-75.6037900050312,Private room,Private room in home,1,32.75,Medellin
