barrio,localidad,area_has,listing_count,area_km2,density_per_km2,estrato_predominante,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
LAS TERRAZAS,Suroccidente,19.66,0.0,0.1964549443510949,0.0,1.0,382.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
SANTA MARIA,Metropolitana,76.39,0.0,0.7632504049898514,0.0,1.0,3875.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
CUCHILLA DE VILLATE,Suroccidente,17.52,0.0,0.1750376412313194,0.0,1.0,861.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
VILLA SAN CARLOS,Metropolitana,13.96,0.0,0.1395247916500468,0.0,1.0,1118.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LA PRADERA,Suroccidente,89.12,0.0,0.8904213506897196,0.0,1.0,4193.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
VILLA FLOR,Suroccidente,3.9,0.0,0.0390010387068741,0.0,1.0,400.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LAS GRANJAS,Metropolitana,42.01,0.0,0.4197196055146793,0.0,1.0,478.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LOS ROSALES,Suroccidente,43.35,0.0,0.4331606107392289,0.0,1.0,408.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LA MANGA,Suroccidente,43.7,0.0,0.4366143581016566,0.0,1.0,2179.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
EL BOSQUE,Suroccidente,204.83,0.0,2.046589608842218,0.0,1.0,9541.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
NUEVA COLOMBIA,Suroccidente,36.87,0.0,0.3684164845044894,0.0,1.0,1766.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
POR FIN,Suroccidente,48.13,0.0,0.4809128912340686,0.0,1.0,2744.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LIPAYA,Suroccidente,43.12,0.0,0.4308236052418376,0.0,1.0,2407.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
KALAMARY,Suroccidente,8.95,0.0,0.0894054713827575,0.0,1.0,495.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LAS MALVINAS,Suroccidente,76.4,0.0,0.7633290552422366,0.0,1.0,4687.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
CARLOS MEISEL,Suroccidente,29.62,0.0,0.2959459205715973,0.0,1.0,1547.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
REBOLO,Suroriental,137.61,0.0,1.374960608381922,0.0,1.0,4677.0,0.0,0.0,0.0,0.20738636363636365,0.1590909090909091,0.04829545454545456
LA CUMBRE,Norte - Centro Historico,22.24,35.0,0.2222616410139063,157.47206688629703,5.0,860.0,5.065578343630417,4.069767441860465,1.6232949470955267,0.9488636363636364,0.9034090909090909,0.045454545454545414
BOYACA,Suroriental,19.78,2.0,0.1976612647219406,10.118320363949374,3.0,439.0,2.4085942310063486,0.45558086560364464,0.37540504130236346,0.6875,0.6420454545454546,0.045454545454545414
EL SILENCIO,Suroccidente,35.1,10.0,0.3507478494363875,28.51050980374899,3.0,2247.0,3.384746464432498,0.4450378282153983,0.36813549991751676,0.6818181818181818,0.6420454545454546,0.03977272727272718
SAN FELIPE,Suroccidente,71.12,16.0,0.7106380139883853,22.514979054106025,3.0,4189.0,3.1576376246505387,0.381952733349248,0.3234975231319697,0.6761363636363636,0.6420454545454546,0.03409090909090906
AMERICA,Norte - Centro Historico,6.58,4.0,0.0657305850522053,60.85447127578541,4.0,214.0,4.124784388477525,1.8691588785046727,1.0540189131252908,0.8465909090909091,0.8153409090909091,0.03125
LOS ALPES,Norte - Centro Historico,26.38,35.0,0.2636010691191044,132.7763962299627,5.0,1010.0,4.896169721294557,3.4653465346534658,1.496346822661419,0.9318181818181818,0.9034090909090909,0.02840909090909083
LAS DELICIAS,Norte - Centro Historico,65.73,54.0,0.6567183376582698,82.2270323569059,4.0,3252.0,4.4215722031918325,1.6605166051660518,0.9785203164052483,0.8352272727272727,0.8153409090909091,0.019886363636363646
EL SANTUARIO,Metropolitana,47.93,1.0,0.4788653512333793,2.08826969298232,2.0,2736.0,1.1276109641593166,0.03654970760233918,0.035897608909577036,0.4375,0.41761363636363635,0.019886363636363646
MIRAMAR,Norte - Centro Historico,71.63,92.0,0.7157554078289965,128.53552902806712,4.0,5611.0,4.863955198940114,1.6396364284441276,0.9706411911760006,0.8295454545454546,0.8153409090909091,0.014204545454545525
SAN VICENTE,Riomar,37.59,72.0,0.3755772837284267,191.70488503788724,6.0,1080.0,5.261159925581033,6.666666666666667,2.03688192726104,0.9829545454545454,0.9715909090909091,0.011363636363636354
LOS ANDES,Suroccidente,38.37,6.0,0.3833653205487052,15.650867927783054,3.0,1732.0,2.8124623428626245,0.3464203233256351,0.2974494583480025,0.6534090909090909,0.6420454545454546,0.011363636363636354
LUCERO,Suroccidente,52.46,7.0,0.5241277219564364,13.355523294724362,3.0,2327.0,2.664134766738234,0.30081650193382037,0.2629921457194269,0.6420454545454546,0.6420454545454546,0.0
OLAYA,Suroccidente,95.74,10.0,0.9566639544660374,10.452991307257424,3.0,3366.0,2.4382509454226624,0.29708853238265004,0.2601221623591379,0.6363636363636364,0.6420454545454546,-0.005681818181818232
EL TABOR,Norte - Centro Historico,27.09,26.0,0.2706431585142764,96.06745702618048,5.0,1146.0,4.575406170061318,2.2687609075043627,1.1844109857293488,0.8920454545454546,0.9034090909090909,-0.011363636363636354
SANTODOMINGO,Suroccidente,16.44,2.0,0.1642563238144669,12.17609132820401,3.0,730.0,2.5784039242572074,0.273972602739726,0.2421400520048648,0.6278409090909091,0.6420454545454546,-0.014204545454545525
